LR,ALRU,BLRU,CLRU,FLRU,GLRU
LS,ALSU,BLSU,CLSU,DLSU,ELSU
LT,ALTU,BLTU,CLTU,DLTU,ELTU
LU,ABLU,ACLU,ADLU,AELU,AFLU
LV,ALVU,CLVU,DLVU,LVIU,LVNU
LW,ALWU,CLWU,LWCU,PLWU,SLWU
LX,BLXU,CLXU,HLXU,LXAU,LXLU
LY,KLYU,LYGU,LYKU,LYSU,LCYU
LZ,BLZU,LDZU,LHZU,ABLU,ACLU
MA,AMAU,CMAU,EMAU,KMAU,MACU
MB,AMBU,DMBU,EMBU,FMBU,KMBU
MC,AMCU,CMCU,EMCU,GMCU,HMCU
MD,EMDU,FMDU,GMDU,MDCU,MDEU
ME,AMEU,CMEU,DMEU,FMEU,IMEU
MF,AMFU,MFAU,MFCU,MFRU,MFTU
MG,AMGU,CMGU,EMGU,GMGU,MGEU
MH,HMHU,MHCU,MHFU,MHHU,MHIU
MI,AMIU,CMIU,DMIU,EMIU,FMIU
MJ,EMJU,MJTU,MMJU,UMJU,MOJU
MK,EMKU,HMKU,JMKU,MKAU,MKLU
ML,BMLU,CMLU,DMLU,EMLU,FMLU
MN,CMNU,MMNU,MNBU,MNOU,MNTU
MO,AMOU,BMOU,CMOU,GMOU,KMOU
MP,BMPU,HMPU,IMPU,KMPU,MPAU
MQ,SMQU,AAMU,ABMU,ADMU,AFMU
MR,BMRU,CMRU,EMRU,FMRU,HMRU
MS,AMSU,EMSU,FMSU,HMSU,IMSU
MT,AMTU,CMTU,EMTU,IMTU,KMTU
MU,AAMU,ABMU,ADMU,AFMU,AGMU
MV,MVCU,MVIU,MVLU,MVWU,MHVU
MW,IMWU,MWAU,MWCU,MWIU,MWLU
MX,AMXU,GMXU,MXCU,MXFU,MXMU
MY,CMYU,TMYU,MKYU,MSYU,MTYU
