2024-10-02 12:28:16,887 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:37,044 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:37,326 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:37,366 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:43,880 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:43,919 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:44,000 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:44,021 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:44,038 - LOGGER - INFO - This is an info message.
2024-10-02 13:15:11,422 - LOGGER - ERROR - top:图片断流
2024-10-02 13:15:35,708 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:16:20,385 - LOGGER - ERROR - top:图片断流
2024-10-02 13:16:41,021 - LOGGER - ERROR - right:图片断流
2024-10-02 13:16:54,474 - LOGGER - ERROR - top:图片断流
2024-10-02 13:17:17,830 - LOGGER - ERROR - rear:图片断流

2024-10-02 13:17:45,878 - LOGGER - ERROR - rear:图片断流

2024-10-02 13:17:45,888 - LOGGER - ERROR - top:图片断流
2024-10-02 13:18:22,242 - LOGGER - ERROR - right:图片断流
2024-10-02 13:18:22,249 - LOGGER - ERROR - top:图片断流
2024-10-02 13:18:22,388 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:19:43,072 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:19:43,429 - LOGGER - ERROR - top:图片断流
2024-10-02 13:19:58,915 - LOGGER - ERROR - ImageCaptureProcess---top:图片读取有问题
2024-10-02 13:20:01,204 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:20:01,332 - LOGGER - ERROR - right:图片断流
2024-10-02 13:20:42,831 - LOGGER - ERROR - right:图片断流
2024-10-02 13:20:43,125 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:19:59,004 - LOGGER - ERROR - ImageProcessWorker2--rear:error:
2024-10-02 13:19:59,974 - LOGGER - ERROR - ImageProcessWorker2--front:error:Unable to allocate 9.38 MiB for an array with shape (1, 3, 640, 640) and data type float64
2024-10-02 13:21:24,322 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:21:45,303 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:21:45,702 - LOGGER - ERROR - right:图片断流
